subject,class,scenario,timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
subject1,normal,1,1733143160510,10.12320,-5.85722,-7.84387,-0.00401,0.02033,-0.00323
subject1,normal,1,1733143160562,7.52782,-7.17197,1.82567,-0.00442,-0.00801,0.01085
subject1,normal,1,1733143160604,9.87768,-8.17616,-3.02657,0.00269,0.00361,0.01095
subject1,normal,1,1733143160655,10.79373,2.83671,3.71159,0.00828,0.00268,-0.01614
subject1,normal,1,1733143160706,7.40027,8.64664,4.46874,-0.00730,-0.01893,0.00061
subject1,normal,1,1733143160755,6.59990,-4.34168,-6.06067,0.00751,0.00141,0.01355
subject1,normal,1,1733143160816,16.11882,-1.41640,-6.69009,0.01631,0.00323,-0.01614
subject1,normal,1,1733143160861,5.06557,-2.19067,-4.20356,0.00053,-0.00990,0.00567
subject1,normal,1,1733143160911,9.67334,-2.69543,-0.90808,0.01247,-0.00215,0.00209
subject1,normal,1,1733143160955,-2.65838,-6.14121,-4.54817,0.03107,-0.03652,0.00681
subject1,normal,1,1733143161003,0.46777,-5.69164,-0.53407,0.04806,-0.03842,0.00754
subject1,normal,1,1733143161051,-2.67081,-1.98973,-2.30082,0.03776,-0.04342,0.01161
subject1,normal,1,1733143161101,2.34389,-0.83007,-3.58692,0.03985,-0.04958,0.00757
subject1,normal,1,1733143161145,-0.34550,3.41411,-3.14585,0.03897,-0.03433,-0.00505
subject1,normal,1,1733143161197,-4.24049,3.20822,-1.64468,0.01807,-0.03695,0.01597
subject1,normal,1,1733143161245,-0.41864,-1.72839,-1.07019,0.01347,-0.02625,0.00617
subject1,normal,1,1733143161294,6.74967,4.45469,-1.93082,-0.01921,0.00314,-0.00583
subject1,normal,1,1733143161341,3.45855,5.87578,1.16249,-0.03549,0.03052,-0.00897
subject1,normal,1,1733143161389,9.61897,-4.22139,5.76102,-0.02770,0.00542,-0.00660
subject1,normal,1,1733143161441,4.35297,-6.91328,2.03211,-0.00747,0.04896,-0.00741
subject1,normal,1,1733143161493,5.05129,2.75881,-3.68932,-0.01871,0.01547,-0.00420
subject1,normal,1,1733143161540,4.83600,-4.90865,7.13875,-0.00359,-0.01717,-0.02100
subject1,normal,1,1733143161588,8.88363,-0.89432,-7.58591,-0.02136,0.02803,0.01127
subject1,normal,1,1733143161636,4.65213,-4.87713,-5.46014,-0.01193,-0.01548,0.01972
subject1,normal,1,1733143161679,8.63118,-2.03838,0.89719,0.00551,-0.00073,-0.00336
